stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_11925,11925,BERLÍN-HOSPITAL FUNDACIÓN ALCORCÓN,Calle de Berlín 2,40.348804473877,-3.8341429233551,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11926,11926,BERLÍN-HOSPITAL FUNDACIÓN ALCORCÓN,Calle de Berlín 2,40.3489074707031,-3.83452105522156,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12143,12143,URB.LOS LLANOS-PARQUE BOMBEROS,Ctra   Madrid 79,40.3197860717773,-4.1919207572937,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15043,15043,CTRA.NAVACERRADA-URB.LOS MANZANOS,Ctra de Navacerrada 61,40.2822036743164,-4.02409172058105,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15387,15387,CTRA.M507-VIVERO,Ctra de Villamanta 4800,40.3049430847168,-4.06888008117676,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15388,15388,CTRA.M507-VIVERO,Ctra de Villamanta 4900,40.3052749633789,-4.06922674179077,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15675,15675,URB.LOS LLANOS-PARQUE BOMBEROS,Calle   San Rafael 47,40.3189964294434,-4.19077682495117,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15785,15785,CTRA.M510-CARBAJO,Ctra de Ocaña 51200,40.3068161010742,-4.21265077590942,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_15786,15786,CTRA.M510-PALOMEQUE,Ctra de Ocaña 51200,40.306827545166,-4.21225070953369,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_16193,16193,CTRA.M507-ERMITA,Calle   Cadalso de los Vidrios 39,40.2987480163574,-4.11724758148193,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_16543,16543,CTRA.M507-URB.LOS OLIVOS,Ctra   M-507 Navalcarnero 6600,40.3014793395996,-4.09049987792969,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_16544,16544,CTRA.M507-URB.LOS OLIVOS,Ctra   M-507 Navalcarnero 6600,40.3019752502441,-4.08760118484497,C2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_16545,16545,CTRA.M507-ERMITA,Calle   Cadalso de los Vidrios 39,40.2985649108887,-4.11672687530518,C2,http://www.crtm.es,0,,Europe/Madrid,2
